time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449050000	19.1629	16.5376	4.4725	2.11169	0.538573	radar	0	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0183	16.7681	4.60949	2.14353	0.545676	lidar	0.000539618	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8688	16.9508	4.5628	2.21507	0.664013	radar	0	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.662	17.2238	4.88612	2.25779	0.677077	lidar	0.00294631	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5601	17.4307	4.85429	2.2213	0.503573	radar	0	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3328	17.6431	5.03212	2.26934	0.530776	lidar	0.00298816	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.1885	17.844	5.03995	2.26599	0.453717	radar	0	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0758	18.0129	4.89982	2.27722	0.440833	lidar	0.00108998	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.8837	18.1759	4.88524	2.33272	0.518862	radar	0	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7856	18.2844	4.60718	2.35158	0.511116	lidar	0.00208085	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6528	18.4656	4.58958	2.35744	0.47639	radar	0	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4473	18.6632	4.74828	2.38389	0.478925	lidar	0.000668365	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2546	18.8123	4.76121	2.42629	0.521621	radar	0	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1146	18.9284	4.60154	2.45098	0.520906	lidar	0.000670768	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9599	19.0878	4.57611	2.46128	0.492247	radar	0	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7448	19.2097	4.6194	2.50094	0.510267	lidar	0.0019623	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5668	19.3516	4.6198	2.52811	0.524107	radar	0	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3143	19.5395	4.85935	2.55103	0.51703	lidar	0.00152564	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0648	19.6417	4.92739	2.60972	0.580644	radar	0	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8579	19.7817	4.93809	2.63131	0.571485	lidar	0.000442781	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6643	19.9129	4.84853	2.62799	0.48681	radar	0	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4242	20.073	4.97896	2.64237	0.472266	lidar	0.000806577	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2251	20.2041	4.9456	2.65396	0.451519	radar	0	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0486	20.3211	4.84164	2.66873	0.444647	lidar	0.001453	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8071	20.4104	4.89547	2.7097	0.483648	radar	0	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.5955	20.5238	4.88077	2.72751	0.476401	lidar	0.000431272	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3589	20.6097	4.93366	2.76762	0.51912	radar	0	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1191	20.6816	4.94285	2.80029	0.526963	lidar	0.000438949	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8778	20.7558	4.98535	2.83702	0.555062	radar	0	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5986	20.8263	5.09526	2.86873	0.556889	lidar	0.00110645	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3264	20.8719	5.21912	2.9231	0.623776	radar	0	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0961	20.8969	5.13028	2.96362	0.637898	lidar	0.000369376	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8671	20.9558	5.04479	2.98151	0.608733	radar	0	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6933	20.974	4.82734	3.01828	0.624757	lidar	0.00219468	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4596	21.0046	4.80838	3.04683	0.619933	radar	0	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2043	21.0457	4.86123	3.0689	0.606741	lidar	0.000244284	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.969	21.0651	4.85725	3.09896	0.610442	radar	0	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7381	21.0313	4.81385	3.14674	0.6338	lidar	0.00125193	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4894	21.0204	4.81878	3.17886	0.630065	radar	0	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2802	21.0073	4.73458	3.21359	0.637925	lidar	0.000487154	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
